,Date,Price
1,2021.05.28,"80,100"
2,2021.05.27,"
				500
				"
3,2021.05.26,"79,800"
4,2021.05.25,"80,400"
5,2021.05.24,"79,400"
6,2021.05.21,"12,273,913"
7,2021.05.20,"79,600"
8,2021.05.18,"
				200
				"
9,2021.05.17,"80,000"
10,2021.05.14,"80,000"
11,2021.05.13,"79,100"
12,2021.05.12,"23,198,510"
13,2021.05.11,"79,800"
14,2021.05.10,"
				100
				"
15,2021.05.07,"80,400"
16,2021.05.06,"80,500"
17,2021.05.04,"79,700"
18,2021.05.03,"11,984,359"
19,2021.04.30,"79,900"
20,2021.04.29,"
				200
				"
21,2021.04.28,"80,000"
22,2021.04.27,"80,400"
23,2021.04.26,"79,800"
24,2021.04.23,"13,628,942"
25,2021.04.22,"79,700"
26,2021.04.21,"
				400
				"
27,2021.04.20,"80,100"
28,2021.04.19,"80,400"
29,2021.04.16,"79,500"
30,2021.04.15,"13,398,666"
31,2021.04.14,"80,100"
32,2021.04.13,"
				600
				"
33,2021.04.12,"80,100"
34,2021.04.09,"81,500"
35,2021.04.08,"79,800"
36,2021.04.07,"20,961,714"
37,2021.04.06,"79,500"
38,2021.04.05,"
				100
				"
39,2021.04.02,"79,400"
40,2021.04.01,"79,700"
41,2021.03.31,"79,100"
42,2021.03.30,"16,541,828"
43,2021.03.29,"79,600"
44,2021.03.26,0
45,2021.03.25,"79,600"
46,2021.03.24,"80,000"
47,2021.03.23,"79,100"
48,2021.03.22,"17,494,407"
49,2021.03.19,"79,600"
50,2021.03.18,"
				500
				"
51,2021.03.17,"80,800"
52,2021.03.16,"80,900"
53,2021.03.15,"79,200"
54,2021.03.12,"17,740,855"
55,2021.03.11,"80,100"
56,2021.03.10,"
				1,600
				"
57,2021.03.09,"79,000"
58,2021.03.08,"80,300"
59,2021.03.05,"78,900"
60,2021.03.04,"16,450,920"
61,2021.03.03,"78,500"
62,2021.03.02,"
				1,500
				"
63,2021.02.26,"78,900"
64,2021.02.25,"79,600"
65,2021.02.24,"78,400"
66,2021.02.23,"31,490,096"
67,2021.02.22,"80,000"
68,2021.02.19,"
				1,200
				"
69,2021.02.18,"80,800"
70,2021.02.17,"81,200"
71,2021.02.16,"79,800"
72,2021.02.15,"35,812,268"
73,2021.02.10,"81,200"
74,2021.02.09,"
				2,000
				"
75,2021.02.08,"82,500"
76,2021.02.05,"82,600"
77,2021.02.04,"81,100"
78,2021.02.03,"28,996,680"
79,2021.02.02,"83,200"
80,2021.02.01,"
				1,300
				"
81,2021.01.29,"82,300"
82,2021.01.28,"83,500"
83,2021.01.27,"81,800"
84,2021.01.26,"19,385,027"
85,2021.01.25,"81,900"
86,2021.01.22,"
				400
				"
87,2021.01.21,"81,800"
88,2021.01.20,"82,100"
89,2021.01.19,"81,500"
90,2021.01.18,"14,154,882"
